ResponseID,T01. Artificial Intelligence will improve society more than it will create problems.,T02. Generative AI tools should be allowed as learning aids in higher education.,T03. Students should disclose the use of AI in assignments and reports.,T04. Every engineering student should receive formal education in AI.,T05. Artificial Intelligence will significantly accelerate scientific discovery.,T06. Most repetitive jobs will eventually be replaced by intelligent automation.,T07. Robots should replace humans in hazardous occupations whenever possible.,T08. AI-assisted diagnosis should become routine in healthcare.,T09. Autonomous vehicles will ultimately make transportation safer.,T10. Protection of personal data is more important than technological convenience.,T11. Technology companies should explain how recommendation algorithms work.,T12. Governments should introduce stricter regulations for Artificial Intelligence.,T13. Cybersecurity deserves greater investment than the development of new digital technologies.,T14. Social media algorithms contribute to opinion polarization.,T15. Society will increasingly depend on AI-assisted decision making.
11,1.0,1.0,0.0,2.0,2.0,1.0,1.0,-1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0
12,1.0,1.0,2.0,1.0,0.0,1.0,1.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
13,1.0,2.0,0.0,-1.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0
14,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,-1.0,1.0,1.0,1.0,1.0,2.0,2.0
16,0.0,1.0,2.0,2.0,-2.0,2.0,2.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0
17,1.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0
18,-1.0,0.0,1.0,0.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0
19,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,-1.0,1.0,-1.0,0.0,1.0,2.0
20,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0
21,1.0,1.0,0.0,2.0,0.0,1.0,2.0,-1.0,-1.0,2.0,1.0,2.0,2.0,2.0,-1.0
22,-1.0,2.0,0.0,2.0,0.0,2.0,-2.0,-1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0
24,1.0,1.0,0.0,2.0,2.0,1.0,1.0,-1.0,0.0,2.0,0.0,0.0,-1.0,2.0,2.0
26,0.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0
29,0.0,-2.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0
30,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0
31,1.0,0.0,0.0,2.0,2.0,1.0,-1.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0
32,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
35,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0
36,1.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,-2.0,2.0,2.0,2.0,0.0,2.0,2.0
37,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,-1.0,1.0,2.0,2.0,2.0,2.0,2.0
38,1.0,1.0,0.0,1.0,1.0,2.0,2.0,-1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0
39,0.0,0.0,-1.0,1.0,2.0,2.0,2.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0
40,1.0,2.0,2.0,2.0,1.0,-1.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0
41,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
42,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,-1.0,-1.0,2.0,1.0
43,1.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0
45,0.0,1.0,1.0,0.0,0.0,1.0,-1.0,-2.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0
46,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0
48,1.0,-1.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,-1.0,0.0,2.0,2.0,1.0
49,0.0,-1.0,1.0,1.0,2.0,1.0,1.0,-1.0,-1.0,2.0,2.0,2.0,1.0,2.0,1.0
50,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
52,1.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0
53,-2.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,-1.0,2.0,1.0,2.0,2.0,2.0,2.0
54,0.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0
55,-1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0
56,2.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,-1.0,2.0,1.0
57,-2.0,-2.0,2.0,1.0,-1.0,1.0,1.0,-2.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0
58,1.0,1.0,1.0,2.0,2.0,2.0,-1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0
59,2.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,-1.0,1.0,1.0,2.0
61,-2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0
62,1.0,-1.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
63,2.0,0.0,2.0,0.0,1.0,2.0,0.0,-2.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0
64,2.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0
65,0.0,1.0,2.0,2.0,-1.0,1.0,-2.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0
66,1.0,-1.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0
67,1.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0
69,1.0,2.0,1.0,2.0,0.0,1.0,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
70,1.0,1.0,1.0,2.0,2.0,1.0,1.0,-1.0,-1.0,1.0,0.0,1.0,0.0,2.0,1.0
72,0.0,1.0,0.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,-1.0,0.0,1.0,1.0
74,-1.0,1.0,2.0,1.0,1.0,2.0,2.0,-2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
77,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
79,1.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0
80,1.0,2.0,1.0,1.0,0.0,2.0,2.0,-2.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0
81,1.0,2.0,2.0,1.0,1.0,1.0,2.0,-1.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0
82,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,-1.0,2.0,2.0,2.0,2.0,1.0,1.0
83,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0
