community,size,T,E,S,V
0,34,0.968627450980392,0.996078431372549,1.2941176470588236,1.419607843137255
1,26,0.9256410256410257,0.9512820512820513,1.3846153846153846,1.4666666666666666
2,22,1.206060606060606,0.9303030303030302,1.4696969696969697,1.5424242424242423
3,1,0.4,0.8,0.7333333333333333,1.0
4,1,1.2666666666666666,0.4,0.7333333333333333,1.2
5,1,1.2,0.4,0.4666666666666667,0.6666666666666666
6,1,0.5333333333333333,0.8,0.4666666666666667,1.4666666666666666
7,1,0.6666666666666666,0.5333333333333333,0.5333333333333333,1.0666666666666669
8,1,0.8,0.0,0.0666666666666666,0.2
9,1,-0.4,-0.0666666666666666,0.0666666666666666,-0.0666666666666666
10,1,0.5333333333333333,1.0,0.5333333333333333,1.1333333333333333
11,1,1.2,0.3333333333333333,0.9333333333333332,0.6666666666666666
