ResponseID,degree_unweighted,degree_weighted
11,28,21.066857291341254
12,39,30.001838759240037
13,57,45.77707410969171
14,50,39.24862379094939
16,46,35.85403112505913
17,9,6.748343054312934
18,50,39.028899429923236
19,52,40.80875214197217
20,56,44.71393482657294
21,68,56.4252575138275
22,0,0.0
24,11,8.243711283922666
26,29,22.083195991233836
29,50,40.031251322516646
30,71,58.54921714149227
31,28,21.545030547628432
32,64,51.95932444124826
35,55,43.92960648106617
36,0,0.0
37,66,54.37741393013663
38,70,57.160977915616066
39,69,55.73171219353522
40,45,35.36342592529395
41,69,57.56959546607569
42,35,27.103319650145533
43,59,46.254063189697064
45,48,37.518196745418926
46,65,52.21591347374183
48,23,17.481609627330922
49,64,52.94165210364915
50,71,59.00995249141127
52,66,53.81377395665315
53,63,51.22465151576781
54,67,54.66962421843516
55,71,58.651524104721695
56,30,23.158547716858916
57,36,27.96217099483889
58,0,0.0
59,30,23.051000059825228
61,61,50.41339855659289
62,46,36.19858215235386
63,20,15.01621616866697
64,58,46.2262745029456
65,3,2.22013333540099
66,63,51.50458889337566
67,74,62.20015820587407
69,45,34.62307149234199
70,69,55.53891804054095
72,42,33.08637259236299
74,53,41.84202762491093
77,74,61.49057131197243
79,42,32.5890398028264
80,51,40.140977290376306
81,71,59.438237173615356
82,51,40.287602194688944
83,74,61.08452675434648
84,1,0.7477542676736161
85,1,0.7354829935548832
86,49,39.115975352090956
87,75,62.8437786616011
89,0,0.0
90,53,42.90294715396364
91,65,53.435624044117816
92,61,48.73554763144596
93,5,3.700271848171589
94,73,60.91568412315006
95,66,53.85542096291764
97,68,55.842106841246945
99,69,56.62417441985085
101,58,46.03546548926104
102,50,38.96236389819336
103,39,30.082676341151718
104,68,55.98362582380414
105,71,59.551704984514465
106,39,30.211793919271415
108,61,49.36900886591608
109,38,29.209093911660386
110,70,59.04567484885303
111,22,16.68803468280383
113,20,15.185503214468485
114,75,62.9753848791891
115,8,5.919133739427785
116,39,30.398343044055192
117,0,0.0
118,61,48.75598286144738
119,0,0.0
120,0,0.0
121,24,18.08989294078148
123,0,0.0
125,0,0.0
126,60,47.18631902388676
