degree,real_node_count,er_binomial_expected_count
0,9,7.19110588043396e-26
1,2,6.475156990139739e-24
2,0,2.8828525034360783e-22
3,1,8.460498446169487e-21
4,0,1.841057365833775e-19
5,1,3.1681656251057346e-18
6,0,4.4904272269858805e-17
7,0,5.39114506743551e-16
8,1,5.5960454515324435e-15
9,1,5.101109965524377e-14
10,0,4.1339175865212823e-13
11,1,3.0079542451287798e-12
12,0,1.9812039294409427e-11
13,0,1.189303072055217e-10
14,0,6.544362385749884e-10
15,0,3.317430114369655e-09
16,0,1.5558050365387735e-08
17,0,6.775636222234099e-08
18,0,2.749239314359437e-07
19,0,1.042325951554751e-06
20,2,3.7020647768361314e-06
21,0,1.23462443624172e-05
22,1,3.8741228479413714e-05
23,1,0.00011459523890650273
24,1,0.00032006799181311357
25,0,0.000845392287589544
26,0,0.0021145131961204018
27,0,0.005014627976657666
28,2,0.011288424873687615
29,1,0.02414566374275828
30,2,0.04912016740034701
31,0,0.09511773594961356
32,0,0.17545899899645442
33,0,0.30853313402902716
34,0,0.5174994099544903
35,1,0.8284035498480055
36,1,1.2662348132073955
37,0,1.8489211695722485
38,1,2.5800182478858624
39,4,3.441704850461003
40,0,4.390317394002812
41,0,5.356661159649328
42,2,6.252490993708897
43,0,6.982934466156474
44,0,7.462687524696423
45,2,7.632251710650834
46,2,7.46998064668953
47,0,6.996589674921132
48,1,6.27084018413384
49,1,5.377631668828019
50,4,4.41181217360187
51,2,3.4619352401071404
52,1,2.597719847974868
53,2,1.8634259933892836
54,0,1.2774156224562236
55,1,0.8365350536257278
56,1,0.5230898234689465
57,1,0.3121709183982522
58,2,0.17770125624570393
59,1,0.09642742607468943
60,1,0.04984517526974336
61,4,0.024525996208550064
62,0,0.01147744115557155
63,2,0.005103576938959028
64,2,0.002154123339160026
65,2,0.0008620702684122641
66,3,0.00032670129045245786
67,1,0.00011708449808835008
68,3,3.962145606162311e-05
69,4,1.2639099454928658e-05
70,2,3.7935821715232447e-06
71,5,1.0691367356254333e-06
72,0,2.822711329361183e-07
73,1,6.963510278695241e-08
74,3,1.6005068317712922e-08
75,2,3.4160825835194045e-09
76,0,6.745561988385885e-10
77,0,1.2270649688869907e-10
78,0,2.0461073573363885e-11
79,0,3.109529500652358e-12
80,0,4.2776917800864404e-13
81,0,5.2836808853770456e-14
82,0,5.801994952713079e-15
83,0,5.595016233291726e-16
84,0,4.664791257849496e-17
85,0,3.2944024240038127e-18
86,0,1.9162859330045669e-19
87,0,8.814814145272097e-21
88,0,3.006518303312552e-22
89,0,6.759521453905358e-24
90,0,7.514248459858942e-26
