network,percentile,tau,edges,density,n_components,gcc_size,gcc_pct,mean_degree
Full_Listwise,50,0.7368669276983828,1139,0.5,8,61,89.70588235294117,33.5
Full_Listwise,52,0.7418283503894446,1093,0.4798068481123793,9,60,88.23529411764706,32.14705882352941
Full_Listwise,54,0.7463390061476375,1048,0.46005267778753295,10,59,86.76470588235294,30.823529411764707
Full_Listwise,56,0.7532351154181759,1002,0.43985952589991223,10,59,86.76470588235294,29.470588235294116
Full_Listwise,58,0.7597333244558794,957,0.42010535557506584,10,59,86.76470588235294,28.147058823529413
Full_Listwise,60,0.7657818916173227,911,0.3999122036874451,10,59,86.76470588235294,26.794117647058822
Full_Listwise,62,0.7710183747817583,866,0.3801580333625988,10,59,86.76470588235294,25.470588235294116
Full_Listwise,64,0.7762196215208331,820,0.35996488147497807,11,58,85.29411764705883,24.11764705882353
Full_Listwise,66,0.780410604327652,775,0.3402107111501317,13,56,82.3529411764706,22.794117647058822
Full_Listwise,68,0.7864044164899721,729,0.32001755926251096,13,56,82.3529411764706,21.441176470588236
Full_Listwise,70,0.7918439914872113,684,0.30026338893766463,13,56,82.3529411764706,20.11764705882353
Full_Listwise,72,0.7961087966100991,638,0.2800702370500439,15,54,79.41176470588235,18.764705882352942
Full_Listwise,74,0.8014740718715117,593,0.2603160667251975,17,52,76.47058823529412,17.441176470588236
Full_Listwise,76,0.8071630168498765,547,0.24012291483757683,18,51,75.0,16.08823529411765
Full_Listwise,78,0.8117054249026311,502,0.22036874451273047,19,50,73.52941176470588,14.764705882352942
Full_Listwise,80,0.818743427378788,456,0.20017559262510976,20,49,72.05882352941177,13.411764705882353
Full_Listwise,82,0.8251897111026242,410,0.17998244073748904,21,48,70.58823529411765,12.058823529411764
Full_Listwise,84,0.8302258613719017,365,0.16022827041264268,22,47,69.11764705882354,10.735294117647058
Full_Listwise,86,0.8375594473129299,319,0.14003511852502196,25,44,64.70588235294117,9.382352941176471
Full_Listwise,88,0.8452971941723829,274,0.1202809482001756,26,43,63.23529411764706,8.058823529411764
Full_Listwise,90,0.8540981382806585,228,0.10008779631255488,30,39,57.35294117647059,6.705882352941177
Full_Listwise,92,0.8627449927384535,184,0.08077260755048288,30,39,57.35294117647059,5.411764705882353
Full_Listwise,94,0.8725224909334846,137,0.0601404741000878,35,34,50.0,4.029411764705882
Full_Listwise,96,0.8824931264662338,92,0.04038630377524144,39,30,44.11764705882353,2.7058823529411766
Full_Listwise,98,0.9005212186884602,46,0.02019315188762072,47,22,32.35294117647059,1.3529411764705883
