,T01. Artificial Intelligence will improve society more than it will create problems.,T02. Generative AI tools should be allowed as learning aids in higher education.,T03. Students should disclose the use of AI in assignments and reports.,T04. Every engineering student should receive formal education in AI.,T05. Artificial Intelligence will significantly accelerate scientific discovery.,T06. Most repetitive jobs will eventually be replaced by intelligent automation.,T07. Robots should replace humans in hazardous occupations whenever possible.,T08. AI-assisted diagnosis should become routine in healthcare.,T09. Autonomous vehicles will ultimately make transportation safer.,T10. Protection of personal data is more important than technological convenience.,T11. Technology companies should explain how recommendation algorithms work.,T12. Governments should introduce stricter regulations for Artificial Intelligence.,T13. Cybersecurity deserves greater investment than the development of new digital technologies.,T14. Social media algorithms contribute to opinion polarization.,T15. Society will increasingly depend on AI-assisted decision making.,E01. Project-based learning develops deeper understanding than examination-oriented learning.,E02. Traditional written examinations accurately measure a student's knowledge.,E03. Class attendance should be compulsory for all courses.,E04. High-quality online learning can effectively complement classroom teaching.,E05. Students should be encouraged to take courses outside their primary discipline.,E06. Every undergraduate student should participate in at least one research project.,"E07. Publishing research before graduation should be encouraged, but not mandatory.",E08. Maintaining academic honesty is more important than obtaining high grades.,E09. Collaborative learning is generally more effective than individual learning.,E10. Universities should prioritize innovation and problem-solving over rote learning.,E11. University curricula should be updated more frequently to match emerging technologies.,E12. Artificial intelligence should be integrated into teaching and personalized learning.,E13. Universities should invest more resources in research than in expanding infrastructure.,E14. Strong collaborations between universities and industry improve student education.,E15. Continuous learning and skill development are essential throughout one's career.,S01. Every individual has a responsibility to contribute positively to society.,S02. Universities should encourage students to participate in community service activities.,S03. New technologies should be evaluated for their societal impact before widespread deployment.,S04. Technology companies should be accountable for unethical use of their platforms.,S05. Individuals should have greater control over how their personal data are collected and used.,"S06. Combating online misinformation requires shared responsibility among users, platforms, and governments.",S07. Equal opportunities should be prioritized regardless of a person's background.,S08. Diverse teams generally make better decisions than homogeneous teams.,S09. Universities should promote an inclusive environment where different viewpoints can be discussed respectfully.,S10. Scientific evidence should play an important role in public policy decisions.,S11. People should be free to express differing opinions as long as they do not promote harm or discrimination.,S12. Young people should actively participate in addressing societal challenges.,S13. Critical evaluation of online information should be taught as a core educational skill.,S14. Leaders should prioritize ethical decision-making even when it reduces short-term gains.,S15. Building public trust is essential for responsible adoption of emerging technologies.,V01. Climate change requires immediate global action.,V02. Governments should prioritize investment in renewable energy over fossil fuels.,V03. Individuals should actively reduce their personal energy consumption.,V04. Public transportation and non-motorized transport should be promoted even if they require additional public investment.,V05. Single-use plastics should be significantly restricted.,"V06. Water conservation should be a priority in households, institutions, and industries.",V07. Protecting biodiversity is essential for long-term human well-being.,V08. Universities should adopt environmentally sustainable campus practices even if implementation costs increase.,"V09. Products should be designed to encourage reuse, repair, and recycling.",V10. Consumers should consider environmental impact when purchasing products.,V11. Technological innovation is essential for addressing environmental challenges.,V12. Environmental sustainability should be integrated into higher education curricula.,V13. Companies should be held accountable for the environmental impacts of their activities.,V14. International cooperation is necessary to effectively address environmental challenges.,V15. Current generations have a responsibility to protect natural resources for future generations.
T01. Artificial Intelligence will improve society more than it will create problems.,1.0,0.331371205106782,-0.049126102735571955,-0.02848617031698027,0.23909136422175264,0.02403893273480976,0.23820254184629616,0.20297946373051504,0.11905738410243259,0.013812476133984687,0.02702812388086679,-0.2856468078215273,-0.148165637259848,-0.07849864353628681,-0.06619986837730325,0.057865863394741354,0.14371132623212435,0.111159492318102,0.10069221241903427,-0.052779984434865486,0.10959809139865173,-0.05493000461506703,0.188125263386964,0.005268126960219947,-0.12932871098717943,-0.017513015215485254,0.22202152912347756,0.08025211060492886,0.051478607027019854,-0.11542731712729591,0.009031767603981103,-0.0008422236027214815,0.017799043674129718,-0.20080352197356327,-0.12766975534214534,-0.07338430454269203,0.03235603173861942,0.005320525438473446,-0.025491465292940742,-0.03846734184048819,0.14822366765764494,0.08828507576462313,-0.1061899656649516,-0.09365046797544817,0.048383943442968015,-0.034078717329934366,-0.0063789159412904126,-0.026212188145368985,0.01231330227084598,-0.10865314520531803,-0.016842182918249696,-0.04358441337483286,0.0010405607552828103,-0.10311261042745798,-0.025842638050842304,-0.003495719637748397,-0.15751743107832283,-0.0850854284398248,-0.03174581779664794,-0.05886124756277647
T02. Generative AI tools should be allowed as learning aids in higher education.,0.331371205106782,1.0,-0.026863108418842353,0.2953911431908423,0.037220363915466084,0.27826037560828415,0.021643575326850788,0.14464063863855772,-0.14115103252551828,0.15306245044583522,0.05176736252424843,9.904611788830682e-18,0.025133618597533804,0.11742179860604585,0.014436136508833483,0.11248454988662633,0.010264938063287708,-0.08178683348297718,0.13703016759729053,-0.21769642556181362,0.07257421384275735,0.10706962101042253,0.07207907067321477,0.06652440187338475,0.1307717286274895,-4.199037259182706e-17,0.5234779163064883,0.024494789758662903,0.27788992333341533,0.045318927413482125,0.12771288956999277,-3.082632331938088e-17,0.0924223120987429,0.08086909706606508,-0.019224519996135444,0.05592571116466087,0.15866964529495922,0.03439287166669459,0.07689807998454175,-0.09625551993929314,-0.15008712942804836,0.07343453506484802,0.12686528343677306,0.17264373702310068,0.23956304238204898,-0.054424885552028776,0.24963592733499182,0.12485088537893987,-7.841170305015425e-18,-0.12825599434605753,1.3923128322649593e-17,-0.050139778099538145,0.125559081471346,0.0324012111870329,0.14785030770029522,0.233105746511723,0.11393959991895078,0.04074134260104399,0.03546855138823928,-0.12683003818440872
T03. Students should disclose the use of AI in assignments and reports.,-0.049126102735571955,-0.026863108418842353,1.0,0.012556680219694534,-0.07606220444145999,0.16132724710192803,0.08686704185713277,-0.0619971634364438,0.20472701804038557,0.14844411146824762,0.1812100822189695,0.2919718856242164,0.11915586778873313,0.1994150698569859,0.15075599031406572,-0.10860355265417568,0.07466411286584103,-0.03691524473964896,-0.3177034700903048,0.11975741756563814,-0.06975600639755486,0.2117839183253664,0.09811558786154675,-0.010512841997646698,0.06666855999518591,0.390898678896867,0.09302057700049628,-0.07699395541637953,0.20191656227841348,0.1412727546290022,0.026209538091719064,0.2336409217619828,-0.035156060163048834,0.14825489709188383,0.12160516329984057,0.009624871559661517,0.060328786055241876,0.13654759934789445,0.05668248884818038,0.1093959505709768,0.1425531700641963,0.2561969215376251,0.03275046574366778,0.08765852276742125,0.1379487454315127,-0.05466782602833665,0.21258378891897453,-0.04378475659017619,0.1592123401891999,0.09421509578330699,0.055883764199235735,0.3254095803267209,0.19896446097907688,0.33268304522397146,0.09479750914783033,0.013841159305764917,0.16295713637747902,0.055563831404453194,0.15548366801992441,0.18121008221896956
T04. Every engineering student should receive formal education in AI.,-0.02848617031698027,0.2953911431908423,0.012556680219694534,1.0,0.05058305752305016,0.22466263700963313,-0.025151744221491554,0.15306081025682258,-0.10034234620221388,0.24229687367457617,-0.1517399254681244,0.1670956119620251,0.006200471132787495,0.31902907423807797,0.25360910727535674,0.03424119313342647,0.023324398379213487,-0.10924694745015365,-0.06672115031570834,-0.01014257622994481,0.10428341330020036,0.22720104180510592,0.00692559302147604,0.15403860408665765,0.39711266092817926,0.018941801938859564,0.33232774451763536,0.013675973178387825,0.35848385051186255,0.16652602931204033,0.1054648927577226,0.08906927903318265,0.15908998237005284,0.11310243851486187,0.015476161855609922,0.14976886590790423,0.12323757045751522,-0.15629768737293598,0.19070625254332296,0.10644159227439294,-0.041167665258555766,0.12853053354655453,0.3035053557674828,0.2555475655479205,0.339912975529884,0.03344881085562963,0.14788565007857743,0.24527123795866795,-0.07295536560299483,-0.14691689242501757,-0.10120702831010238,-0.039929607801861174,0.19991400462720102,0.09760347906316036,0.16474703621816736,0.04648142914752684,0.08843629200011807,0.14071261757230252,0.08243517246590068,0.12350924166010119
T05. Artificial Intelligence will significantly accelerate scientific discovery.,0.23909136422175264,0.037220363915466084,-0.07606220444145999,0.05058305752305016,1.0,0.08907737852414122,0.28888810745243515,0.23340666601885474,0.05560318579972476,0.11676497587618791,0.061954033087406955,0.08131327294601262,-0.04975532928186411,0.07061610416126587,0.22377632326508187,0.05488227314452858,0.0068967582082267425,-0.06623504063017006,0.055075904232330525,-0.13274456831638926,-0.10492283753013579,0.06918472448421052,-0.06468616684585035,-0.15297772871489165,0.13669646879955213,0.06223193883670523,0.13523268153763068,-0.05907046828858418,0.13669646879955227,0.11554181813187914,-0.020685648458136082,-0.040236729702415985,0.038968576017356885,-0.05585862491478125,0.23042077520836796,0.15113914296088493,0.33314441714040677,-0.0336987590987988,0.1344697817282067,0.21153036874219702,0.3540648606718109,0.2227296626850835,0.2199435757427773,0.005649110083275472,0.2336104580984712,0.2309363480773154,0.13571434430901344,-0.005991730318381854,0.049712168732824004,0.03248548863932099,0.22453580983206795,-0.03589341861390367,0.09132727967961989,0.006219878019523831,0.13852346664598977,0.18098966743105138,0.029466906890559072,0.049613746027380355,0.09872612160742524,0.11564752842982629
T06. Most repetitive jobs will eventually be replaced by intelligent automation.,0.02403893273480976,0.27826037560828415,0.16132724710192803,0.22466263700963313,0.08907737852414122,1.0,0.012442189969139211,-0.005307396716807133,0.06258381541282346,0.11466865564156824,0.11634650790199973,0.2074448682368343,0.033815644687822576,0.15349520816447468,0.12642529289550822,0.199188722888208,-0.1265571923188969,-0.29635463165572234,0.12235142026751819,0.018952116319572603,0.24632885806298202,0.19700015262419107,0.1348871489973976,-0.027664948210186925,0.42866559154243467,0.19825889403865588,0.4494204069814052,-0.10980387360968921,0.4832484770326796,0.25775229540095124,0.028273740784789322,0.07178439593245975,0.07638531882607978,0.35085788383827404,0.05737402223399208,0.1877689726981666,0.37297190152216464,-0.1344732055575801,0.09405577415408559,0.15383686558256315,-0.017898557575121984,0.1537708715706219,0.2859040165616036,0.27566558383468115,0.18687842655444656,-0.0896453156753515,0.2087730298754932,0.24494352102837477,0.1059661575743343,0.2581429014850679,0.05498435393154838,0.18561666587691283,0.08350593939281772,0.36242230711599505,0.20007374058744315,0.08085100393902107,0.2805823446966058,0.20057240752607927,0.2158273619651729,0.2978470602291194
T07. Robots should replace humans in hazardous occupations whenever possible.,0.23820254184629616,0.021643575326850788,0.08686704185713277,-0.025151744221491554,0.28888810745243515,0.012442189969139211,1.0,0.14304162240555945,0.2215723717860463,0.08596339743712936,0.17349440162041427,0.027640865667997436,-0.054840495209756056,0.15928606584970614,-0.015560677178725455,0.09901170358275868,0.07745186612448916,-0.019899705049799835,0.0767202941094362,0.004020350523751684,0.061012443154721416,0.03745625654662659,0.005581888877461829,-0.002552658377515845,-0.006842647329865302,0.11817565896710996,0.013287572482354043,-0.012304252694140354,0.039858420696465426,0.004742637279676328,0.18230114214703835,0.19622066994218024,0.14079695453639987,0.0031433894422206376,-0.024142210883066208,0.1606549651681302,0.264167570771242,0.20155647495071924,0.26355246880680655,0.22328848289955758,0.2169481896734235,0.2434589869842542,0.21441521945863368,0.19101969435008198,0.21059079982737106,0.4415971564986537,0.2529174601771385,-0.0520013940935847,0.240129658761668,0.09872643163234446,0.028670936040090567,0.12698080082715216,0.22091271616582991,-0.01390225946410966,0.15838287648603924,0.2118843142838831,0.07127787514349522,0.2104082585302673,0.21843901354278897,0.0477820647085731
T08. AI-assisted diagnosis should become routine in healthcare.,0.20297946373051504,0.14464063863855772,-0.0619971634364438,0.15306081025682258,0.23340666601885474,-0.005307396716807133,0.14304162240555945,1.0,0.2788714959648969,0.10347776023908806,0.2461878221254284,0.12105028760598713,0.12743673668496994,0.15294899394738862,0.03735547980981131,-0.005244489625151562,0.1967018800851146,-0.022164437588331268,-0.0910419202063808,0.120903190131995,0.1632638424644762,4.433931255566476e-17,-0.21877642583352655,-0.05660492288298599,-0.012575294877419475,-0.10580376071567492,0.15656626070840263,0.18672472522102113,0.06173326576187723,-0.10459120760750237,-0.021436189504095635,-0.04873633958712734,0.050785892992657095,0.03151017215592265,0.13041539290965817,0.11538122518423445,0.11500259280852133,0.047304320772051885,0.13041539290965828,0.10770782146219864,0.03411366868155841,0.12428460329163761,0.08983373173112438,-0.013171674925697626,0.04095449792199843,0.05201896911411297,0.038190624954373045,0.013970540993673244,0.02963626858281976,0.014949547124234935,-0.014842516466271476,0.03506582188160024,0.10098284109701552,-0.10876873986737404,0.15604118884222173,0.25618237045768166,0.07171645509236842,0.11397167813781131,-0.01736373328251512,-0.06209001690369269
T09. Autonomous vehicles will ultimately make transportation safer.,0.11905738410243259,-0.14115103252551828,0.20472701804038557,-0.10034234620221388,0.05560318579972476,0.06258381541282346,0.2215723717860463,0.2788714959648969,1.0,-0.1828108862572861,0.13602292572951993,-0.1576342771840077,-0.10992474268265948,-0.0552625382270812,-0.04663515379389939,0.015638213703862598,0.030241281478078322,-0.05686517229575538,0.12625404492571882,0.12993056423424063,0.17556011522433726,0.10856676776170292,-0.0901874186908054,-0.06949049736775517,-0.029378191517723237,-0.03605595181674701,0.03053244917534962,0.13986901823933798,0.15674566740152343,0.09072696510837273,0.005375025740260957,0.23495394581732618,0.009311391167695313,0.017083309122870254,-0.12355150670866873,0.022583121006798327,0.021822118000665764,0.23642265043379018,0.08681406754573706,0.23631334925062902,0.13038834344843556,0.1969646295132312,0.011183779341247936,-0.07908715670889753,-0.0381497721701526,0.13640234050685698,0.03531703824151639,0.06234480054822411,0.041596630955243956,0.26308602281257915,-0.0746167363507282,0.2389684263740293,0.05087999923710108,0.005712642363433499,-0.08103068500578382,0.19962257261600538,-0.009792310741742015,-0.006487949571358381,0.19163779010670148,0.16013608074520763
T10. Protection of personal data is more important than technological convenience.,0.013812476133984687,0.15306245044583522,0.14844411146824762,0.24229687367457617,0.11676497587618791,0.11466865564156824,0.08596339743712936,0.10347776023908806,-0.1828108862572861,1.0,0.30282524276125145,0.46290151763591775,0.2582430946514047,0.2952850081699487,-0.0049858327629003375,-0.04100725488518812,-0.032793275152415875,-0.1465305672219412,-0.07098950941904393,0.06855210610726141,-0.03133134797678909,0.17168735634455587,-0.022404662956450827,0.2460308613467911,0.2258242600619227,0.22392853120615175,0.13655750934961683,0.04864388889922934,0.1524313755417978,0.04695562270543374,0.11909272217101814,0.2463198128344702,0.08094012547116713,0.19451177683573478,0.42991441255041457,0.1750436102319674,0.12205455090160819,0.10393533476111595,0.17096982429611082,0.17591580114471872,0.042116623652836846,0.2903972927050643,0.15061638783845438,0.21411247199873765,0.2505131593025859,-0.11591368832703781,0.23440295914520637,0.0765379297357635,0.09079452926528742,-0.09105286551615646,-0.05830529800164664,0.06782436657222579,0.17887877407489475,0.11330341601269099,0.2796876730965377,-0.0402540620015376,0.14866126525443546,0.21282245422004828,-0.0030624583221398587,0.07039848816958982
