question_id,block,missing_count,missing_pct
T01,T,5,5.2
T02,T,5,5.2
T03,T,7,7.3
T04,T,5,5.2
T05,T,5,5.2
T06,T,5,5.2
T07,T,5,5.2
T08,T,6,6.2
T09,T,6,6.2
T10,T,5,5.2
T11,T,7,7.3
T12,T,6,6.2
T13,T,7,7.3
T14,T,6,6.2
T15,T,6,6.2
E01,E,9,9.4
E02,E,9,9.4
E03,E,9,9.4
E04,E,9,9.4
E05,E,11,11.5
E06,E,10,10.4
E07,E,9,9.4
E08,E,11,11.5
E09,E,10,10.4
E10,E,9,9.4
E11,E,9,9.4
E12,E,9,9.4
E13,E,11,11.5
E14,E,9,9.4
E15,E,9,9.4
S01,S,10,10.4
S02,S,9,9.4
S03,S,9,9.4
S04,S,9,9.4
S05,S,9,9.4
S06,S,9,9.4
S07,S,10,10.4
S08,S,10,10.4
S09,S,11,11.5
S10,S,12,12.5
S11,S,9,9.4
S12,S,10,10.4
S13,S,9,9.4
S14,S,12,12.5
S15,S,10,10.4
V01,V,11,11.5
V02,V,11,11.5
V03,V,10,10.4
V04,V,10,10.4
V05,V,10,10.4
V06,V,12,12.5
V07,V,11,11.5
V08,V,11,11.5
V09,V,11,11.5
V10,V,11,11.5
V11,V,12,12.5
V12,V,12,12.5
V13,V,11,11.5
V14,V,11,11.5
V15,V,11,11.5
