ResponseID,degree,degree_attack_rank,betweenness_centrality_gcc,betweenness_attack_rank
11,28,69,0.0010943243795990187,53
12,39,59,0.0006007829190131051,61
13,57,39,0.0032829590056928084,36
14,50,47,0.0022585947445367435,45
16,46,53,0.003677208292212012,33
17,9,77,0.0,77
18,50,48,0.0009081924609233324,56
19,52,44,0.002234050414047178,46
20,56,40,0.0015968991948565564,51
21,68,18,0.005190062227512246,28
22,0,83,0.0,78
24,11,76,4.102978640015676e-05,73
26,29,68,8.661086709279353e-05,72
29,50,49,0.0009415200799908904,55
30,71,7,0.010191802381477802,12
31,28,70,2.0746039077312716e-05,75
32,64,27,0.0067111172051667976,24
35,55,41,0.002209744481723948,47
36,0,84,0.0,79
37,66,22,0.009672842282268881,14
38,70,12,0.009056097706186247,16
39,69,14,0.011351201540115069,10
40,45,55,0.0013057310267010958,52
41,69,15,0.008606307911325837,17
42,35,65,0.0003600361986863897,67
43,59,36,0.003720486868934923,32
45,48,52,0.006723502428981328,23
46,65,25,0.00439844896713752,30
48,23,72,0.00012803358265216523,71
49,64,28,0.004292001895477566,31
50,71,8,0.017336131914054774,5
52,66,23,0.006251988895023414,26
53,63,29,0.029567667588601146,2
54,67,21,0.007219193805474903,22
55,71,9,0.03129027107442059,1
56,30,66,0.00048173474094037063,64
57,36,64,0.0024971833437435666,43
58,0,85,0.0,80
59,30,67,0.0003718781297261695,66
61,61,31,0.00237137521536324,44
62,46,54,0.0008511387392761153,58
63,20,74,2.3213774403764885e-05,74
64,58,37,0.0026829650356299676,41
65,3,80,0.0,81
66,63,30,0.003501654936238454,34
67,74,3,0.013690773022289856,8
69,45,56,0.0004966420579173844,62
70,69,16,0.01092344048854477,11
72,42,57,0.00038964569787946476,65
74,53,42,0.0017365912309388715,50
77,74,4,0.012120114389070565,9
79,42,58,0.0010129230328847262,54
80,51,45,0.003462788087759143,35
81,71,10,0.009473616083908372,15
82,51,46,0.0026326265773180626,42
83,74,5,0.015801062948885038,6
84,1,81,0.0,82
85,1,82,0.0,83
86,49,51,0.0009067369303572112,57
87,75,1,0.018803315447271617,3
89,0,86,0.0,84
90,53,43,0.001978296683407958,49
91,65,26,0.004781079226286082,29
92,61,32,0.0030904210194493834,39
93,5,79,0.0,85
94,73,6,0.009762231657055634,13
95,66,24,0.017509384142928703,4
97,68,19,0.0074314403486772295,21
99,69,17,0.008466047163928934,18
101,58,38,0.0031265749512515203,37
102,50,50,0.0020993781459298843,48
103,39,60,0.00028396346204414034,68
104,68,20,0.007725485711385697,19
105,71,11,0.007443233448399013,20
106,39,61,0.0007127093125167272,59
108,61,33,0.003091838698967884,38
109,38,63,0.00018229966358154884,69
110,70,13,0.006287434135164124,25
111,22,73,1.4237461215191862e-05,76
113,20,75,0.00016395741318580824,70
114,75,2,0.013838433595673548,7
115,8,78,0.0,86
116,39,62,0.0004947630690661897,63
117,0,87,0.0,87
118,61,34,0.002830719102347656,40
119,0,88,0.0,88
120,0,89,0.0,89
121,24,71,0.000605944946919051,60
123,0,90,0.0,90
125,0,91,0.0,91
126,60,35,0.005844106219227772,27
