network,percentile,tau,edges,density,n_components,gcc_size,gcc_pct,mean_degree
Full,50,0.7313831039322911,2048,0.5001221001221001,10,82,90.10989010989012,45.010989010989015
Full,52,0.7363489924131348,1966,0.4800976800976801,11,81,89.01098901098901,43.20879120879121
Full,54,0.7413848008920457,1884,0.46007326007326005,11,81,89.01098901098901,41.40659340659341
Full,56,0.7462484448974757,1802,0.44004884004884004,12,80,87.91208791208791,39.604395604395606
Full,58,0.7527865956960476,1720,0.42002442002442003,14,78,85.71428571428571,37.8021978021978
Full,60,0.758769972001766,1638,0.4,14,78,85.71428571428571,36.0
Full,62,0.7650995489263943,1556,0.37997557997557996,15,77,84.61538461538461,34.1978021978022
Full,64,0.7704032908630426,1474,0.35995115995115995,15,77,84.61538461538461,32.395604395604394
Full,66,0.7756713344240604,1392,0.33992673992673994,15,77,84.61538461538461,30.593406593406595
Full,68,0.7805468923042642,1311,0.3201465201465201,16,76,83.51648351648352,28.813186813186814
Full,70,0.7864603599472377,1229,0.3001221001221001,16,76,83.51648351648352,27.01098901098901
Full,72,0.7917971299989757,1147,0.2800976800976801,18,73,80.21978021978022,25.208791208791208
Full,74,0.7961192576842655,1065,0.2600732600732601,20,71,78.02197802197803,23.406593406593405
Full,76,0.8022054390162987,983,0.24004884004884006,20,71,78.02197802197803,21.604395604395606
Full,78,0.8076388677699585,901,0.22002442002442002,21,70,76.92307692307693,19.802197802197803
Full,80,0.8144832704247896,819,0.2,24,68,74.72527472527473,18.0
Full,82,0.8202327381570206,737,0.17997557997557997,26,66,72.52747252747253,16.197802197802197
Full,84,0.8266940049560284,656,0.1601953601953602,26,66,72.52747252747253,14.417582417582418
Full,86,0.8333387851983163,574,0.14017094017094017,27,65,71.42857142857143,12.615384615384615
Full,88,0.8413029425145929,492,0.12014652014652015,30,62,68.13186813186813,10.813186813186814
Full,90,0.8502675715442521,410,0.10012210012210013,37,54,59.34065934065934,9.010989010989011
Full,92,0.8604780762568603,328,0.0800976800976801,40,51,56.043956043956044,7.208791208791209
Full,94,0.8691137318449202,246,0.060073260073260075,44,47,51.64835164835166,5.406593406593407
Full,96,0.8805627769885607,164,0.04004884004884005,51,40,43.956043956043956,3.6043956043956045
Full,98,0.8956328850639269,82,0.020024420024420026,63,29,31.868131868131865,1.8021978021978022
T,50,0.612763353345372,2049,0.5003663003663004,2,90,98.9010989010989,45.032967032967036
T,52,0.6227523687795279,1966,0.4800976800976801,2,90,98.9010989010989,43.20879120879121
T,54,0.6324555320336759,1888,0.4610500610500611,2,90,98.9010989010989,41.494505494505496
T,56,0.6424951334323028,1802,0.44004884004884004,2,90,98.9010989010989,39.604395604395606
T,58,0.6506000486323554,1721,0.4202686202686203,2,90,98.9010989010989,37.824175824175825
T,60,0.6599120175960899,1639,0.40024420024420027,2,90,98.9010989010989,36.02197802197802
T,62,0.6695270253839802,1556,0.37997557997557996,2,90,98.9010989010989,34.1978021978022
T,64,0.6803484939803152,1474,0.35995115995115995,3,89,97.8021978021978,32.395604395604394
T,66,0.6885441483008182,1392,0.33992673992673994,4,88,96.7032967032967,30.593406593406595
T,68,0.6998677123677123,1311,0.3201465201465201,4,88,96.7032967032967,28.813186813186814
T,70,0.7087561301382546,1229,0.3001221001221001,5,87,95.6043956043956,27.01098901098901
T,72,0.7174160636918422,1147,0.2800976800976801,5,87,95.6043956043956,25.208791208791208
T,74,0.7273929674533078,1066,0.26031746031746034,6,86,94.5054945054945,23.428571428571427
T,76,0.7368619343940255,983,0.24004884004884006,6,86,94.5054945054945,21.604395604395606
T,78,0.7460038465922509,902,0.22026862026862026,9,83,91.20879120879121,19.824175824175825
T,80,0.7559289460184544,821,0.2004884004884005,12,80,87.91208791208791,18.043956043956044
T,82,0.7670929478598306,738,0.18021978021978022,14,78,85.71428571428571,16.21978021978022
T,84,0.7768985960673558,658,0.1606837606837607,17,75,82.41758241758241,14.461538461538462
T,86,0.7867957924694432,574,0.14017094017094017,18,74,81.31868131868131,12.615384615384615
T,88,0.7977240352174656,492,0.12014652014652015,18,74,81.31868131868131,10.813186813186814
T,90,0.8089183346948097,410,0.10012210012210013,19,73,80.21978021978022,9.010989010989011
T,92,0.8238715070597591,328,0.0800976800976801,23,69,75.82417582417582,7.208791208791209
T,94,0.8388374283224949,246,0.060073260073260075,24,68,74.72527472527473,5.406593406593407
T,96,0.8571678451444242,164,0.04004884004884005,34,58,63.73626373626373,3.6043956043956045
T,98,0.8849853414285673,82,0.020024420024420026,52,39,42.857142857142854,1.8021978021978022
E,50,0.6888467201936643,2048,0.5001221001221001,7,84,92.3076923076923,45.010989010989015
E,52,0.6989862602977983,1966,0.4800976800976801,7,84,92.3076923076923,43.20879120879121
E,54,0.7051102404077108,1888,0.4610500610500611,8,83,91.20879120879121,41.494505494505496
E,56,0.7140055472954164,1803,0.4402930402930403,8,83,91.20879120879121,39.62637362637363
E,58,0.7228936649578004,1721,0.4202686202686203,8,83,91.20879120879121,37.824175824175825
E,60,0.731297102859737,1638,0.4,8,83,91.20879120879121,36.0
E,62,0.7395739969534468,1557,0.3802197802197802,9,82,90.10989010989012,34.21978021978022
E,64,0.7457134363100504,1474,0.35995115995115995,9,82,90.10989010989012,32.395604395604394
E,66,0.7539494428586757,1392,0.33992673992673994,9,82,90.10989010989012,30.593406593406595
E,68,0.7618950561630717,1311,0.3201465201465201,10,81,89.01098901098901,28.813186813186814
E,70,0.7706054857746903,1229,0.3001221001221001,10,81,89.01098901098901,27.01098901098901
E,72,0.7790489869214562,1147,0.2800976800976801,10,81,89.01098901098901,25.208791208791208
E,74,0.7874259854358899,1068,0.2608058608058608,11,81,89.01098901098901,23.47252747252747
E,76,0.7952901477024548,983,0.24004884004884006,12,80,87.91208791208791,21.604395604395606
E,78,0.8054411188324216,901,0.22002442002442002,13,79,86.81318681318682,19.802197802197803
E,80,0.8164965809277259,825,0.20146520146520147,16,74,81.31868131868131,18.13186813186813
E,82,0.8255791383889861,737,0.17997557997557997,16,74,81.31868131868131,16.197802197802197
E,84,0.8359173188630292,658,0.1606837606837607,18,71,78.02197802197803,14.461538461538462
E,86,0.8444048178638298,574,0.14017094017094017,21,69,75.82417582417582,12.615384615384615
E,88,0.8530849780323663,492,0.12014652014652015,24,66,72.52747252747253,10.813186813186814
E,90,0.8624672457762389,410,0.10012210012210013,25,65,71.42857142857143,9.010989010989011
E,92,0.8733260632194672,329,0.08034188034188035,26,64,70.32967032967034,7.230769230769231
E,94,0.8832083446486338,247,0.06031746031746032,28,62,68.13186813186813,5.428571428571429
E,96,0.8964214570007951,168,0.041025641025641026,36,54,59.34065934065934,3.6923076923076925
E,98,0.9119397396937481,82,0.020024420024420026,47,42,46.15384615384615,1.8021978021978022
S,50,0.8013876853447538,2048,0.5001221001221001,11,81,89.01098901098901,45.010989010989015
S,52,0.8106746219293028,1966,0.4800976800976801,12,80,87.91208791208791,43.20879120879121
S,54,0.8174238913695991,1887,0.4608058608058608,13,79,86.81318681318682,41.472527472527474
S,56,0.8255429493414229,1802,0.44004884004884004,13,79,86.81318681318682,39.604395604395606
S,58,0.8327041650040515,1721,0.4202686202686203,14,78,85.71428571428571,37.824175824175825
S,60,0.8401680504168058,1640,0.4004884004884005,17,75,82.41758241758241,36.043956043956044
S,62,0.8463889584616805,1557,0.3802197802197802,17,75,82.41758241758241,34.21978021978022
S,64,0.8541666666666669,1475,0.3601953601953602,18,74,81.31868131868131,32.417582417582416
S,66,0.8610567718228918,1394,0.3404151404151404,18,74,81.31868131868131,30.63736263736264
S,68,0.8681736520973661,1312,0.3203907203907204,18,74,81.31868131868131,28.835164835164836
S,70,0.8755950357709134,1229,0.3001221001221001,21,71,78.02197802197803,27.01098901098901
S,72,0.8795400145884301,1147,0.2800976800976801,23,69,75.82417582417582,25.208791208791208
S,74,0.8848941667382637,1065,0.2600732600732601,23,69,75.82417582417582,23.406593406593405
S,76,0.8914003559538185,984,0.2402930402930403,24,67,73.62637362637363,21.626373626373628
S,78,0.899138320562953,901,0.22002442002442002,25,66,72.52747252747253,19.802197802197803
S,80,0.9055385138137417,820,0.20024420024420025,30,61,67.03296703296702,18.021978021978022
S,82,0.9128709291752766,738,0.18021978021978022,33,59,64.83516483516483,16.21978021978022
S,84,0.9177788727679407,656,0.1601953601953602,37,55,60.43956043956044,14.417582417582418
S,86,0.9230115679718915,575,0.14041514041514042,38,54,59.34065934065934,12.637362637362637
S,88,0.9297198959726095,493,0.1203907203907204,40,52,57.14285714285714,10.835164835164836
S,90,0.9375000000000003,410,0.10012210012210013,45,47,51.64835164835166,9.010989010989011
S,92,0.9432422182837986,329,0.08034188034188035,48,44,48.35164835164835,7.230769230769231
S,94,0.9486832980505142,248,0.06056166056166056,50,42,46.15384615384615,5.450549450549451
S,96,0.957841488692319,165,0.040293040293040296,54,36,39.56043956043956,3.6263736263736264
S,98,0.9711525076805019,82,0.020024420024420026,65,21,23.076923076923077,1.8021978021978022
V,50,0.8687107603185121,2048,0.5001221001221001,12,80,87.91208791208791,45.010989010989015
V,52,0.8743856497851876,1970,0.4810744810744811,15,77,84.61538461538461,43.2967032967033
V,54,0.8783100656536798,1884,0.46007326007326005,15,77,84.61538461538461,41.40659340659341
V,56,0.8832033488975154,1802,0.44004884004884004,15,77,84.61538461538461,39.604395604395606
V,58,0.8885233166386385,1731,0.4227106227106227,17,74,81.31868131868131,38.043956043956044
